frame.time,ip.src,ip.dst,ip.proto,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,tcp.flags,tcp.flags.syn,tcp.flags.reset,frame.len,data.len,ip.ttl,tcp.window_size,tcp.ack,http.request.method,http.response.code
"Dec 31, 1969 18:00:02.133456000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.133740000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.133792000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.134076000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.134164000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.134449000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.134519000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.134803000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.134873000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.135157000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.135272000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.135557000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.135618000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.135830000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.135891000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.136103000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.136272000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.136485000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.136573000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.136785000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.136891000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.137103000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.137155000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.137368000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.137429000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.137641000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.137774000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.137986000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.138101000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.138314000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.138420000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.138632000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.138720000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.138892000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.139007000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
